item_id	name	category	unit_price
122	AGENDA 2026	Geral	30.00
123	agenda de 20	Geral	20.00
124	agenda escolar	Geral	15.00
125	AGENDA ESCOLAR	Geral	15.00
126	agenda escolar sortida	Geral	15.00
127	agenda grande	Geral	25.00
128	AGENDA PEQUENA	PAPELARIA	10.00
129	AGENDA PERMANENTE C/ 120 PGS 114X160MM	PAPELARIA	12.00
130	AGENDINHA ALCE ABYARA	PAPELARIA	7.00
131	AGENDINHA CORUJA	PAPELARIA	15.00
132	AGENDINHA DE EMOJIS	PAPELARIA	15.00
133	AGENDINHA FASHION	PAPELARIA	15.00
134	AGENDINHA PRINCESAS	PAPELARIA	15.00
135	AGENDINHA TOME NOTA CREDEAL	PAPELARIA	4.80
136	ÁGUA SANITÁRIA CONDE CLORO ATIVO	LIMPEZA	3.00
137	ÁGUA SANITÁRIA OLIMPO 1L CLORO ATIVO	Geral	3.00
138	AGUA SANITARIA SUPREMA	Geral	3.50
139	agulha avulsa	Geral	2.00
140	AGULHA DE COSTURA	Geral	2.00
141	AGULHA DE COSTURA	Geral	1.00
142	AGULHA DE FOGAO	UTILIDADES	2.00
143	agulha de fogão	Geral	1.00
144	AGULHA DE MAQUINA DE COSTURA	Geral	1.00
145	AGULHA DE MAQUINA DE COSTURA	Geral	2.00
146	AGULHA SOLTA	Geral	2.00
147	AGULHA XH	Geral	3.00
148	AGULHAS DE COSTURA	UTILIDADES	2.18
149	AGULHEIRO KIT	UTILIDADES	2.00
150	AGULHEIRO MAIS LINHA	Geral	4.00
151	AIR FRYER  CADENCE	Geral	200.00
152	AIR FRYER 3L CADENCE	Geral	350.00
153	airdotspro	Geral	60.00
154	AIRPLANE SUPER FLAY	BRINQUEDOS	15.00
155	ALARGADOR	Geral	3.00
156	ALARM CLOCK	Geral	25.00
157	ALARM CLOCK	Geral	13.00
158	alarme	Geral	12.00
159	ALBUM DA COPA	Geral	18.00
160	ALBUM DA COPA	BRINQUEDOS	18.00
161	ALCOOL + BICARBONATO ZULU	LIMPEZA	6.50
162	ALCOOL GEL  60 ML	Geral	8.75
163	alfinete grande	Geral	0.50
164	ALFINETES SOLTOS	Geral	1.00
165	ALGODÃO BOLA  USE	Geral	3.00
166	ALGODÃO USE 20 GR	UTILIDADES	3.00
167	ALIANÇA	Geral	8.00
168	ALIANÇA	Geral	10.00
169	alicate  mundial de pé	Geral	50.00
170	ALICATE DE  CUTICULAS INOX	Geral	15.00
171	alicate de unha	Geral	15.00
172	ALICATE DE UNHA	Geral	12.00
173	ALICATE DE UNHA	Geral	12.00
174	alicate de unha	Geral	15.00
175	ALICATE DE UNHA MONDIAL 777	Geral	40.00
176	ALICATE DE UNHA MONDIAL PLASTICO	Geral	15.00
177	alicate de unha mundial 722	Geral	45.00
178	ALICATE DE UNHA MUNDIAL 748-S	UTILIDADES	15.00
179	ALICATE DE UNHA MUNDIAL SANDY	UTILIDADES	15.00
180	ALICATE DE UNHAS LICE	UTILIDADES	20.00
181	alicate lice	Geral	15.00
182	ALICATE MERHEJE	Geral	16.00
183	ALICATE MERHEJE	Geral	16.00
184	ALICATE MERHEJE SUPER	Geral	16.00
185	ALICATE MONDIAL  PONTO VERMELHO	Geral	15.00
186	ALICATE MONDIAL PRETO	Geral	15.00
187	alicate mudial	Geral	30.00
188	alicate mundial  style	Geral	15.00
189	ALICATE MUNDIAL 522 INOX PROFISSIONAL classic	UTILIDADES	30.00
190	ALICATE MUNDIAL PROFESSIONAL	UTILIDADES	40.00
191	ALICATE ORIGINAL LINE INOX	UTILIDADES	15.00
192	ALICATE STYLE MUNDIAL	UTILIDADES	15.00
193	alicate unha grande  aoyasiyue	Geral	7.00
194	ALMAÇO SEM PAUTA	Geral	0.50
195	almaçoc pauta	Geral	0.50
196	ALMOFADA	Geral	15.00
197	ALMOFADA MÃE	Geral	20.00
198	AMACIANTE DE ROUPAS URCA 2L	Geral	10.00
199	AMACIANTE DE ROUPAS URCA AZUL	Geral	10.00
200	AMACIANTE DE ROUPAS YPÊ 2,7L	LIMPEZA	10.00
201	AMOEBA BRILHO	BRINQUEDOS	8.50
202	AMOEBA ORIGINAL 110G	BRINQUEDOS	10.00
203	AMOLADOR DE FACAS PROFISSIONAL	Geral	30.00
204	ANEL	Geral	10.00
205	ANIMAIS DA FLORESTA	BRINQUEDOS	40.00
206	ANIVERSARIO E.V.A	Geral	2.00
207	ANTENA DIGITAL	Geral	40.00
208	ANTENA DIGITAL	ACESSÓRIOS (MODA)	40.00
209	antena digital de tv newton	Geral	40.00
210	antena digital hdtv	Geral	45.00
211	ANTENA HDTV DIGITAL	ELETRÔNICOS E ACESSÓRIOS	40.00
212	aparador de pelos eletrico	Geral	25.00
213	APARELHO DE BARBEAR	UTILIDADES	10.00
214	aparelho de barbear  metal	Geral	10.00
215	aparelho de barbear inox	UTILIDADES	8.00
216	APARELHO DE BARBEAR INOX ORIGINAL LINE	UTILIDADES	7.00
217	APARELHO DE JANTAR C/20 PÇS CRYSTAL	Geral	150.00
218	APARELHO DE JANTAR DURALEX	Geral	60.00
219	apito juiz festa	Geral	2.00
